place,author,rating,text
African Burial Grounds National Monument,John Hughes,5,"I hadn't heard about this monument or the story behind it until my wife studied it at university. We both decided it had to be a stop on our trip to New York. It was very quiet there as far as people visiting, largely due to the lack of signage and it not being on a lot of tour maps. But you can feel an energy there I can't describe. I wish more people would visit this place and visit the museum to learn about this part of the history of the city and the country."
African Burial Grounds National Monument,Jesse James,5,"This free NPS site shares a sliver of the stories of the Black Africans that built this nation and city. Beautiful memorial outside and very informative visitor center just down the block, around the corner. Interpretive exhibits, information, and NPS passport stamps. Free restrooms and a small gift shop. Great stop on any trip to NYC."
African Burial Grounds National Monument,Daviad Brainard,5,"Easy to overlook this place with a powerful and fascinating story while you are in the city but take the time to stop by and learn a piece of our history. The NPS attendants were helpful and the presentation was very well done, especially as much of the story is in the history of the site being rediscovered in the 1990s and the public response. Doesn't take long at all to go through the museum and monument but well worth the time even with all the cool stuff in NYC. I have to add a comment in November 2024. Just out is a great BBC story about the history at the time that construction was happening, and the role of Peggy King Jorde in the NYC mayor's office which led to the development of this memorial. Enjoy!"
African Burial Grounds National Monument,S.Romero,5,"This place is a part of American History I hardly learned about growing up in the 1960s and 1970s! I felt honored to experience this exhibit! As one narrator said, 'this is the Ellis Island for the Africans who arrived in America!' As slaves they were abused and suffered tremendously! The movie I saw in their theater brought tears to my eyes! NYC was built on the suffering of these people! I greatly want to thank Ms. Doris for her great customer service and dedication! She was like our personal tour guide! Everyone here had a smile and were courteous; the staff and security guards! May I mention that the entrance is currently free to the public! There is a souvenir shop that uses the proceeds from the sales to support the facility! Please purchase something…just my opinion! Thank you!"
African Burial Grounds National Monument,Matt Davis,5,"Visited at the end of a great New York Underground Railroad tour. Very emotional, I had no idea New York was such a hub for the transatlantic slave trade. This history must never be forgotten, such a shame the City had to be pressured into the reinterment of the bodies and building a fitting monument to their resilience."
African Burial Grounds National Monument,WSL FLD,5,A very beautiful monument to reflect the atrocities of slavery and the corrosive effect of dehumanisation. Please visit the museum around the corner. It is well worth your 30 minutes!
African Burial Grounds National Monument,Mark Brandt,5,This serves to both make the public aware of this part of often overlooked history and as a memorial to the people and their cultures that were almost erased.
African Burial Grounds National Monument,Kimberly Bailey,5,I took my grand children.It was an absolute pleasure to have this experience. My tour guide was AMAZING !!!!Its a necessity for the culture
African Burial Grounds National Monument,Andrew Zuckerman,5,"An important site to honor the Africans that were parts of NY’s old history, giving their lives the commemoration and honor they deserved. A shorter exhibit that you can visit in an hour"
African Burial Grounds National Monument,Eugene,5,Absolutely worth a visit if you were ever around the area. Cost nothing to enter and the staff there was super friendly. It’s a part of history that’s not taught in schools and often overlooked. There’s also a short documentary playing inside a small room at the front entrance.
African Burial Grounds National Monument,Andy Smith,5,"This is a very interesting place to visit, but you also need to go to the visitor center, where the true history of the site can be found. Its quite amazing some of the things our ancestors were capable of and sites like this are a reminder of how far we have come."
African Burial Grounds National Monument,Wesley Harmer,5,"Solemn place to mark the resting place of the loved ones of those that built Manhattan. The museum, which is just around the corner is amazing and has exhibits worth exploring. The park movie is 20 mins long and tells the story of those that are buried here as well as what happened to their remains once discovered."
African Burial Grounds National Monument,Chris J,5,"A beautiful monument and a very sad and powerful piece of history. I think the city could’ve done more to acknowledge what they have done and still are doing. It’s currently being protected by scaffolding cause of the building going on next to it. Also, the government shutdown prevented us from being able to see it close up."
African Burial Grounds National Monument,Alyssa Becker,4,Got lost trying to find the memorial - but glad we persevered and made it there. We’re a little disappointed that we were not able to see the inside exhibit and learn more - as appointments were required (which we did not anticipate) - so I would look into this in advance before visiting. But an important site to see and learn from.
African Burial Grounds National Monument,Aj Mcrary,5,The African Burial Ground is a must see in Lower Manhattan! A very powerful & educational stop that should be added into the school curriculum. This is American History!
African Burial Grounds National Monument,Genesis Ortiz,5,"I gone there with my Best friend and her boyfriend to the burial ground for our history project and to be honest it’s sad. There are Men, Women and Children who are bury there and some of the corpses it’s hard to identify the body 😔"
African Burial Grounds National Monument,Abigail Vassallo,5,The indoor part was closed when we went but from outside you can see and walk a small area with signs indicating the people the space is dedicated to. I'd love to go back when it's open but it's also worth a stop if you're on foot and it's closed.
African Burial Grounds National Monument,Ari Salomon,5,Beautifully done and very touching and informative. Keep in mind that there is a visitor center indoors that has lots of displays.
African Burial Grounds National Monument,Sid C,5,"This is a powerful monument that is a national park service unit. The inside is closed (it's located inside a federal building) probably due to the pandemic, but the outside if open. There are plaques that describe how this monument came to be and provides a great learning experience. Go check it out while in NY - a good way to spend an hour learning about black history in NYC."
African Burial Grounds National Monument,Narcisse Kunda,5,What an incredible place right in Manhattan. Such rich history. So glad I went and you should too.
African Burial Grounds National Monument,Alex K,5,"A beautiful monument dedicated to enslaved Africans in New York. In a city of countless sights, almost no one knows this place exists, but it's certainly worth a short visit if you're in the area."
African Burial Grounds National Monument,G Aquino,5,"Stop by and learn about this sacred burial ground, unknown to many until the recent discovery of the site. Because the entire site is fenced off, visitors can only see and take pictures of the memorial from the street, and read the plaques with information about the history and significance of the place."
African Burial Grounds National Monument,Kimberly Campanello,5,"We went to this must-visit sacred and historical site in Manhattan and were treated to an informative museum, a excellent and powerful film, detailed insights from the ranger on duty who was involved in the excavations, and a moving visit to the site itself. An American History experience that links visitors with enslaved Black people who literally built the nation. You won't forget it."
African Burial Grounds National Monument,Camille Ray,4,"The visitor center is informative, but feels geared towards a younger audience. The monument itself is stark and austere and oddly peaceful in a busy city. I did visit on a Saturday. It is an ideal setting for meditating on the lives the monument represents."
African Burial Grounds National Monument,Susan Christie,4,"The burial ground was truly an inspirational place to be, not everyone has heard of this amazing place but this was such an educational place to be, the trip there was worth it, the staff there are helpful and full of knowledge."
Islamic Cultural Center Of New York,Iqbal Nathani,5,"The Islamic Cultural Center of New York is a beautiful and peaceful place for worship. The architecture is stunning, the mosque is clean and well-maintained, and the community is welcoming. Friday prayers are organized and sermons are often in English, making it accessible for everyone. A great spiritual and cultural landmark in NYC."
Islamic Cultural Center Of New York,Maotaz Mostafa,5,"Pros:The Islamic Cultural Center in New York was established with Kuwaiti funding from the late Emir of Kuwait. The center is well equipped and consists of two prayer floors for men and women. There is an annex at the center to provide religious consultations and services to the Islamic community in New York. The center's location is in a distinctive area in New York. Islamic rituals and prayers are performed regularly. Very grateful to have visited the center, a wonderful experience."
Islamic Cultural Center Of New York,Luci Cruz,5,"The people here are so nice. It’s a great environment. The khutba could have been louder, but I was able to hear it and even though I had never been there before I felt like home. I can see the woman’s spaces a little bit small but we made room for each other."
Islamic Cultural Center Of New York,Galuh,5,Did some conversion for someone. The Imam is very informative and accepting. they also give you certificate so you're allowed to enter mecca when needed the data. very nice and informative place. Also they will give you books and Quran for newly converts
Islamic Cultural Center Of New York,Muhammed Khan,5,Beautiful and spacious mosque. They have separate place in second floor for females to pray. I went there for Friday prayers. They have one at 1:30 and another at 2:30.
Islamic Cultural Center Of New York,MD Fozayal Azim,5,Alhamdulillah very beautiful masjid for prayer. They open most of the time Alhamdulillah for prayer. Street car parking available.
Islamic Cultural Center Of New York,Mariam Fofana,1,We got our appointment canceled/ rescheduled twice before it got confirmed for 11am for a marriage ceremony. Once we got here at 10:30am imam did not get here till 1pm. I understand it was the weekend but this is why you should leave early. We all had to take public transportation some even drove so if we made it on time then why couldn’t the imam? Using transportation as an excuse is just a very poor answer. I Definitely will be telling anyone who thinks of coming here for them to choose another location for their ceremony. So unprofessional!
Islamic Cultural Center Of New York,Eddie Wright,5,Great place for prayer —always clean and an excellent international brother and sisterhood. I would suggest that if you are wearing new or unique shoes keep them with you. There is still theft. I reported it to the staff and they were dismissive. They need to work on that.
Islamic Cultural Center Of New York,Its Me,2,"I was truly surprised to hear that one of the biggest Islamic Centers in the city has closed down the Islamic weekend classes for the children in the community. These classes were a vital resource for our kids, and their absence will be deeply felt."
Islamic Cultural Center Of New York,Gazi Sheriff,1,Management is very rude especially the security guard.. no respect for people with disabilities
Islamic Cultural Center Of New York,Basir A Samid,5,The best mosque I have ever discovered in NYC! I feel like keep coming to this place since there's just so much to explore once you get around the whole building. It has a lot of space for all Muslims and a perfect partition for women where they can also hear the crisp sound of the speakers through which the Imam's voice echoes inside the mosque. Can't wait to come around once again!!
Islamic Cultural Center Of New York,James Thaw,5,Salam Brothers and Sisters....I had performed 2 times for Eid Salah included in 2024. Last Year I took Screenshots to bring me here and perform Eid Salah because of Prayer times. Normally they always update on their official website. I don't know if this 2024 is not gonna work. Alhamdulillah Eid Prayer here at 4 times. Additionally please have a look their website... Thank you and Happy Eid Mubarak to all..
Islamic Cultural Center Of New York,Fawaz Aljehani,5,"One of the most beautiful places where you feel tranquility, comfort and peace..and meet good people..how I miss this place.."
Islamic Cultural Center Of New York,Omar,5,I go here for taraweeh and the imams are always good and the place is very peaceful and clean
Islamic Cultural Center Of New York,Sam Siam,4,Why am i this late to find this place? good place .
Islamic Cultural Center Of New York,Awais Rahman,5,"Biggest mosque in Manhattan, and SubhanAllah the community here is amazing. Beautiful garden and the upper level is breathtaking. I wish they had more jammats for Jummah similar to Eid. They also need to post the prayer times online and update their website."
Islamic Cultural Center Of New York,Sarfaraz Ahmed,4,"The only reason I am giving 4 stars is because sometimes the imam would give a long khutba , and I would miss my work. In authentic Hadith Khutba should be 7-15 min not 45 min. It’s New York City bro people have work , otherwise an amazing mosque to pray in"
Islamic Cultural Center Of New York,D Duncan,4,"The biggest masjid in relation to prayer space, 116th is the only other that comes close. ICCNY also has a Masjid on 72nd street and Riverside Drive ( which is the masjid Malcolm X opened when he came back from Mecca). *There is only one kutbar given on Jummah (Friday) now which started after Ramadan was over. Remember the Hadith about the last person to arrive at the Masjid on Jummah, and surah Al Jummah, Hasten earnestly to the remembrance of Allah"" and try to get there on time or early. It will get very crowded near prayer time for the Jummah salaat. Also remember to turn your phone off or place on silent.This masjid is also open 7 days a week and has a school."""
Islamic Cultural Center Of New York,Aziz Ghazali,5,A beautiful Friday sermon by the Imam to remind all Muslim that there is No racism in Islam.
Islamic Cultural Center Of New York,Rifat Tasnim Juthi,4,The mosque closed at 5pm so I couldn't pray the Isha. That was ridiculous! Otherwise it's fine.
Islamic Cultural Center Of New York,Asnaan Nazrin,1,The workers/volunteers are very unprofessional and disrespectful specially when distributing water n snacks to others during this holy month...They make the community dirty by their behavior. The director doesnt seem to take any action or care very careless. My son is traumatized by the worker behavior when i took 6 year old to pray the worker told him to get out all he wanted is to grab water and a tiny piece of cake...Its a holy place these type of immature behavior shouldnt be allowed. Not only my son she also told me to refuse to give me water to break my fast. Regardless No Kids or anyone should be turn away from food in ramadan month. They collect so much funds from the city to provide the community in ramasan and this type of behavior is unnecessary. Need better leaders for this masjid...No kids should ever be treated like this and turn away. Now he has a bad experience of what is ramadan. Arabs are super racist there.
Islamic Cultural Center Of New York,Sabirah,3,Can’t understand why Imams scream the Khutbah instead of speaking or narrating. Screaming does not magnify truth and Soft speech does not minimize truth. I came here with peace and I couldn’t concentrate on the khutbah because I felt like I was being yelled at. I wonder if this is how The Most Honorable Rasullah delivers his Khutbah. Allahumma Rabigfirna.
